📡全部频道,#genre#
FETV,rtsp://58.22.135.12:554/PLTV/88888909/224/3221225822/10000100000000060000000001619264_0.smil
厦门卫视,rtsp://58.22.135.9:554/PLTV/88888909/224/3221225706/10000100000000060000000000391859_0.smil
东南卫视,rtsp://58.22.135.13:554/PLTV/88888909/224/3221225983/10000100000000060000000004316570_0.smil
北京卫视,rtsp://58.22.135.7:554/PLTV/88888909/224/3221225692/10000100000000060000000000390475_0.smil
东方卫视,rtsp://58.22.135.8:554/PLTV/88888909/224/3221225688/10000100000000060000000000390279_0.smil
湖南卫视,rtsp://58.22.135.10:554/PLTV/88888909/224/3221225695/10000100000000060000000000390504_0.smil
江苏卫视,rtsp://58.22.135.10:554/PLTV/88888909/224/3221225696/10000100000000060000000000390505_0.smil
浙江卫视,rtsp://58.22.135.10:554/PLTV/88888909/224/3221225689/10000100000000060000000000390304_0.smil
河北卫视,rtsp://58.22.135.12:554/PLTV/88888909/224/3221225714/10000100000000060000000000401011_0.smil
广东卫视,rtsp://58.22.135.5:554/PLTV/88888909/224/3221225686/10000100000000060000000000390277_0.smil
山东卫视,rtsp://58.22.135.5:554/PLTV/88888909/224/3221225687/10000100000000060000000000390278_0.smil
湖北卫视,rtsp://58.22.135.10:554/PLTV/88888909/224/3221225691/10000100000000060000000000390400_0.smil
深圳卫视,rtsp://58.22.135.13:554/PLTV/88888909/224/3221225981/10000100000000060000000004308954_0.smil
黑龙江卫视,rtsp://58.22.135.10:554/PLTV/88888909/224/3221225694/10000100000000060000000000390477_0.smil
贵州卫视,rtsp://58.22.135.11:554/PLTV/88888909/224/3221225974/10000100000000060000000003964019_0.smil
安徽卫视,rtsp://58.22.135.9:554/PLTV/88888909/224/3221225685/10000100000000060000000000390210_0.smil
天津卫视,rtsp://58.22.135.5:554/PLTV/88888909/224/3221225690/10000100000000060000000000390378_0.smil
四川卫视,rtsp://58.22.135.8:554/PLTV/88888909/224/3221225715/10000100000000060000000000401042_0.smil
江西卫视,rtsp://58.22.135.5:554/PLTV/88888909/224/3221225716/10000100000000060000000000401043_0.smil
辽宁卫视,rtsp://58.22.135.9:554/PLTV/88888909/224/3221225684/10000100000000060000000000390192_0.smil
重庆卫视,rtsp://58.22.135.13:554/PLTV/88888909/224/3221225713/10000100000000060000000000401010_0.smil
云南卫视,rtsp://58.22.135.13:554/PLTV/88888909/224/3221225752/10000100000000060000000000428648_0.smil
